model,species_key,common_name,scientific_name,rows,trials,detections,positive_locality_seasons,observed_detection_rate,mean_predicted_detection_rate,calibration_error,weighted_bce,positive_triplet_auroc,positive_triplet_auprc
train_prevalence,avibase-9437D635,Cedar Waxwing,Bombycilla cedrorum,36,596,42,17,0.07046979865771812,0.08053333312273026,0.010063534465012139,0.2555640874964888,0.5,0.45060719302595337
train_prevalence,avibase-94A44032,European Starling,Sturnus vulgaris,36,596,54,11,0.09060402684563758,0.12213333696126938,0.0315293101156318,0.3089662535277714,0.5,0.28278902708802733
train_prevalence,avibase-95B77F08,Gray Catbird,Dumetella carolinensis,36,596,52,12,0.087248322147651,0.109866663813591,0.022618341665939998,0.2989165564542189,0.5,0.2467576666614222
train_prevalence,avibase-95DB0943,Blue-headed Vireo,Vireo solitarius,36,596,25,11,0.04194630872483222,0.03680000081658363,0.005146307908248583,0.174438970642062,0.5,0.33864426276449744
train_prevalence,avibase-9891BF73,Eastern Wood-Pewee,Contopus virens,36,596,55,7,0.09228187919463088,0.1141333356499672,0.021851456455336316,0.310292772584727,0.5,0.2723058514983981
train_prevalence,avibase-9A8E55D0,Pied-billed Grebe,Podilymbus podiceps,36,596,10,3,0.016778523489932886,0.009066666476428509,0.007711857013504377,0.08786712280673009,0.5,0.44771241830065356
train_prevalence,avibase-9BE68BD3,Yellow-bellied Sapsucker,Sphyrapicus varius,36,596,120,14,0.20134228187919462,0.12906666100025177,0.07227562087894285,0.5225998558184277,0.5,0.618918292737111
train_prevalence,avibase-9D06AF89,Hairy Woodpecker,Leuconotopicus villosus,36,596,85,12,0.14261744966442952,0.07306666672229767,0.06955078294213185,0.4381946011458091,0.5,0.3937945904857669
train_prevalence,avibase-A15C5071,Blue-gray Gnatcatcher,Polioptila caerulea,36,596,124,17,0.2080536912751678,0.19840000569820404,0.00965368557696375,0.5116560221303137,0.5,0.3890291212835218
train_prevalence,avibase-A4F5C5C8,Northern House Wren,Troglodytes aedon,36,596,45,13,0.07550335570469799,0.06133333221077919,0.014170023493918799,0.26927834592562455,0.5,0.30762827351699445
train_prevalence,avibase-A5F09E05,Song Sparrow,Melospiza melodia,36,596,234,25,0.3926174496644295,0.35093334317207336,0.041684106492356154,0.6736556889670707,0.5,0.7735339378864954
train_prevalence,avibase-A7A75EA1,Blue Grosbeak,Passerina caerulea,36,596,17,8,0.028523489932885907,0.0538666658103466,0.025343175877460697,0.13711643615359806,0.5,0.22872611084567607
train_prevalence,avibase-A8347C7D,Eastern Bluebird,Sialia sialis,36,596,294,30,0.49328859060402686,0.4415999948978424,0.05168859570618445,0.6984402833126383,0.5,0.8881131227679439
train_prevalence,avibase-ACB9D1C6,Purple Martin,Progne subis,36,596,1,1,0.0016778523489932886,0.03253333270549774,0.030855480356504452,0.03876627987653651,0.5,0.04
train_prevalence,avibase-AD7F307B,Brown-headed Nuthatch,Sitta pusilla,36,596,86,21,0.14429530201342283,0.14239999651908875,0.0018953054943340875,0.41269938478526813,0.5,0.6133306738090758
train_prevalence,avibase-B01E8BD4,Hermit Thrush,Catharus guttatus,36,596,59,15,0.09899328859060402,0.09600000083446503,0.002993287756138996,0.32291650407550115,0.5,0.4375931086532108
train_prevalence,avibase-B48335B1,Pine Siskin,Spinus pinus,36,596,4,4,0.006711409395973154,0.03946666792035103,0.03275525852437788,0.06168962955993203,0.5,0.147734746072342
train_prevalence,avibase-B488AB70,Tufted Titmouse,Baeolophus bicolor,36,596,461,34,0.7734899328859061,0.6922666430473328,0.0812232898385733,0.5514242853002661,0.5,0.9894369373015147
train_prevalence,avibase-B59E1863,Canada Goose,Branta canadensis,36,596,97,22,0.16275167785234898,0.12479999661445618,0.037951681237892804,0.4503007975613129,0.5,0.6620831887118797
